data final;preco gas c;preco brent;preco dolar;preco brent real
01/10/2016;3.65;48.24;3.2603;157.276872
08/10/2016;3.653;50.49;3.2204;162.597996
15/10/2016;3.654;48.87;3.2051;156.633237
22/10/2016;3.671;50.28;3.1511;158.437308
29/10/2016;3.669;47.78;3.2065;153.20657
05/11/2016;3.676;43.06;3.2337;139.243122
12/11/2016;3.681;41.61;3.3915;141.120315
19/11/2016;3.675;44.41;3.3835;150.261235
26/11/2016;3.665;46.32;3.4223;158.520936
03/12/2016;3.655;52.35;3.4755;181.942425
10/12/2016;3.691;52.19;3.3785;176.323915
17/12/2016;3.742;54.15;3.392;183.6768
24/12/2016;3.759;53.93;3.271;176.40503
31/12/2016;3.755;54.96;3.2547;178.878312
07/01/2017;3.762;55.9;3.2241;180.22719
14/01/2017;3.773;54.37;3.2213;175.142081
21/01/2017;3.774;55.04;3.169;174.42176
28/01/2017;3.765;54.8;3.141;172.1268
04/02/2017;3.766;55.92;3.1177;174.341784
11/02/2017;3.754;55.2;3.1158;171.99216
18/02/2017;3.758;54.48;3.1048;169.149504
25/02/2017;3.749;54.69;3.111;170.14059
04/03/2017;3.732;54.12;3.1158;168.627096
11/03/2017;3.701;50.63;3.1395;158.952885
18/03/2017;3.678;50.58;3.0918;156.383244
25/03/2017;3.668;49.97;3.1086;155.336742
01/04/2017;3.67;52.2;3.1233;163.03626
08/04/2017;3.647;54.24;3.1462;170.649888
15/04/2017;3.639;55.05;3.1448;173.12124
22/04/2017;3.629;49.93;3.1482;157.189626
29/04/2017;3.626;49.46;3.1767;157.119582
06/05/2017;3.631;47.45;3.1774;150.76763
13/05/2017;3.633;49.08;3.1218;153.217944
20/05/2017;3.621;52.78;3.253;171.69334
27/05/2017;3.606;50.84;3.2601;165.743484
03/06/2017;3.59;48.46;3.2483;157.412618
10/06/2017;3.572;46.64;3.2971;153.776744
17/06/2017;3.561;45.7;3.2933;150.50381
24/06/2017;3.542;44.14;3.343;147.56002
01/07/2017;3.51;47.08;3.3072;155.702976
08/07/2017;3.489;46.47;3.2813;152.482011
15/07/2017;3.485;47.89;3.1799;152.285411
22/07/2017;3.464;47.47;3.1418;149.141246
29/07/2017;3.749;52;3.1319;162.8588
05/08/2017;3.763;52.48;3.1314;164.335872
12/08/2017;3.758;51.47;3.1938;164.384886
19/08/2017;3.762;50.96;3.1465;160.34564
26/08/2017;3.773;51.87;3.1603;163.924761
02/09/2017;3.778;53.15;3.1416;166.97604
09/09/2017;3.85;54.55;3.0868;168.38494
16/09/2017;3.872;56.18;3.1085;174.63553
23/09/2017;3.879;58.16;3.125;181.75
30/09/2017;3.884;57.02;3.1619;180.291538
07/10/2017;3.887;55.5;3.1561;175.16355
14/10/2017;3.882;56.86;3.1452;178.836072
21/10/2017;3.886;57.89;3.1925;184.813825
28/10/2017;3.878;60.15;3.2363;194.663445
04/11/2017;3.882;61.42;3.3144;203.570448
11/11/2017;3.938;64.35;3.2779;210.932865
18/11/2017;3.966;61.34;3.2574;199.808916
25/11/2017;4.023;63.58;3.233;205.55414
02/12/2017;4.051;64.57;3.2581;210.375517
09/12/2017;4.052;63.86;3.2919;210.220734
16/12/2017;4.053;63.81;3.2947;210.234807
23/12/2017;4.089;64.61;3.337;215.60357
30/12/2017;4.099;66.73;3.3125;221.043125
06/01/2018;4.151;68.01;3.2291;219.611091
13/01/2018;4.183;69.64;3.2064;223.293696
20/01/2018;4.194;68.56;3.1962;219.131472
27/01/2018;4.198;70.08;3.151;220.82208
03/02/2018;4.221;67.45;3.2181;217.060845
10/02/2018;4.212;63.04;3.2942;207.666368
17/02/2018;4.212;64.3;3.2312;207.76616
24/02/2018;4.209;67.04;3.2379;217.068816
03/03/2018;4.193;64.26;3.2528;209.024928
10/03/2018;4.189;65.19;3.2553;212.213007
17/03/2018;4.205;64.68;3.2811;212.221548
24/03/2018;4.198;69.03;3.3123;228.648069
31/03/2018;4.2;69.02;3.3051;228.118002
07/04/2018;4.208;66.51;3.3697;224.118747
14/04/2018;4.208;73.18;3.4223;250.443914
21/04/2018;4.215;74.62;3.413;254.67806
28/04/2018;4.226;75.33;3.4568;260.400744
05/05/2018;4.225;74.75;3.5304;263.8974
12/05/2018;4.257;77.37;3.5999;278.524263
19/05/2018;4.284;78.38;3.737;292.90606
26/05/2018;4.435;76.6;3.6524;279.77384
02/06/2018;4.614;74.54;3.7633;280.516382
09/06/2018;4.603;75.11;3.7094;278.613034
16/06/2018;4.572;72.02;3.7297;268.612994
23/06/2018;4.538;73.67;3.786;278.91462
30/06/2018;4.498;77.44;3.8771;300.242624
07/07/2018;4.495;74.98;3.8628;289.632744
14/07/2018;4.494;74.11;3.8518;285.456898
21/07/2018;4.5;71.99;3.7681;271.265519
28/07/2018;4.489;74.84;3.7114;277.761176
04/08/2018;4.473;72.48;3.708;268.75584
11/08/2018;4.461;71;3.8597;274.0387
18/08/2018;4.44;70.14;3.9116;274.359624
25/08/2018;4.429;74.41;4.102;305.22982
01/09/2018;4.446;76.94;4.0556;312.037864
08/09/2018;4.525;75.55;4.0596;306.70278
15/09/2018;4.628;77.87;4.1742;325.044954
22/09/2018;4.652;78.9;4.0516;319.67124
29/09/2018;4.696;82.72;4.0491;334.941552
06/10/2018;4.7;85.12;3.8413;326.971456
13/10/2018;4.722;80.71;3.783;305.32593
20/10/2018;4.725;80.38;3.7149;298.603662
27/10/2018;4.723;77.4;3.6429;281.96046
03/11/2018;4.709;71.11;3.6967;262.872337
10/11/2018;4.658;69.01;3.7335;257.648835
17/11/2018;4.614;65.29;3.7435;244.413115
24/11/2018;4.554;57.69;3.8282;220.848858
01/12/2018;4.505;57.71;3.8669;223.158799
08/12/2018;4.402;61.71;3.9075;241.131825
15/12/2018;4.365;58.56;3.9171;229.385376
22/12/2018;4.349;51.93;3.904;202.73472
29/12/2018;4.344;50.57;3.8812;196.272284
