,nome,Preço Médio Revenda,Data Inicial
0,GASOLINA COMUM,2.758,30/12/2012
1,GASOLINA COMUM,2.764,06/01/2013
2,GASOLINA COMUM,2.758,13/01/2013
3,GASOLINA COMUM,2.763,20/01/2013
4,GASOLINA COMUM,2.772,27/01/2013
5,GASOLINA COMUM,2.881,03/02/2013
6,GASOLINA COMUM,2.89,10/02/2013
7,GASOLINA COMUM,2.889,17/02/2013
8,GASOLINA COMUM,2.889,24/02/2013
9,GASOLINA COMUM,2.889,03/03/2013
10,GASOLINA COMUM,2.89,10/03/2013
11,GASOLINA COMUM,2.886,17/03/2013
12,GASOLINA COMUM,2.878,24/03/2013
13,GASOLINA COMUM,2.88,31/03/2013
14,GASOLINA COMUM,2.875,07/04/2013
15,GASOLINA COMUM,2.876,14/04/2013
16,GASOLINA COMUM,2.875,21/04/2013
17,GASOLINA COMUM,2.871,28/04/2013
18,GASOLINA COMUM,2.868,05/05/2013
19,GASOLINA COMUM,2.865,12/05/2013
20,GASOLINA COMUM,2.856,19/05/2013
21,GASOLINA COMUM,2.853,26/05/2013
22,GASOLINA COMUM,2.852,02/06/2013
23,GASOLINA COMUM,2.852,09/06/2013
24,GASOLINA COMUM,2.844,16/06/2013
25,GASOLINA COMUM,2.844,23/06/2013
26,GASOLINA COMUM,2.842,30/06/2013
27,GASOLINA COMUM,2.838,07/07/2013
28,GASOLINA COMUM,2.839,14/07/2013
29,GASOLINA COMUM,2.84,21/07/2013
30,GASOLINA COMUM,2.835,28/07/2013
31,GASOLINA COMUM,2.83,04/08/2013
32,GASOLINA COMUM,2.834,11/08/2013
33,GASOLINA COMUM,2.841,18/08/2013
34,GASOLINA COMUM,2.835,25/08/2013
35,GASOLINA COMUM,2.832,01/09/2013
36,GASOLINA COMUM,2.833,08/09/2013
37,GASOLINA COMUM,2.835,15/09/2013
38,GASOLINA COMUM,2.835,22/09/2013
39,GASOLINA COMUM,2.836,29/09/2013
40,GASOLINA COMUM,2.832,06/10/2013
41,GASOLINA COMUM,2.83,13/10/2013
42,GASOLINA COMUM,2.834,20/10/2013
43,GASOLINA COMUM,2.838,27/10/2013
44,GASOLINA COMUM,2.838,03/11/2013
45,GASOLINA COMUM,2.839,10/11/2013
46,GASOLINA COMUM,2.84,17/11/2013
47,GASOLINA COMUM,2.849,24/11/2013
48,GASOLINA COMUM,2.933,01/12/2013
49,GASOLINA COMUM,2.947,08/12/2013
50,GASOLINA COMUM,2.947,15/12/2013
51,GASOLINA COMUM,2.951,22/12/2013
52,GASOLINA COMUM,2.954,29/12/2013
53,GASOLINA COMUM,2.957,05/01/2014
54,GASOLINA COMUM,2.954,12/01/2014
55,GASOLINA COMUM,2.96,19/01/2014
56,GASOLINA COMUM,2.956,26/01/2014
57,GASOLINA COMUM,2.955,02/02/2014
58,GASOLINA COMUM,2.953,09/02/2014
59,GASOLINA COMUM,2.955,16/02/2014
60,GASOLINA COMUM,2.958,23/02/2014
61,GASOLINA COMUM,2.972,02/03/2014
62,GASOLINA COMUM,2.978,09/03/2014
63,GASOLINA COMUM,2.983,16/03/2014
64,GASOLINA COMUM,2.987,23/03/2014
65,GASOLINA COMUM,2.99,30/03/2014
66,GASOLINA COMUM,2.989,06/04/2014
67,GASOLINA COMUM,2.985,13/04/2014
68,GASOLINA COMUM,2.989,20/04/2014
69,GASOLINA COMUM,2.988,27/04/2014
70,GASOLINA COMUM,2.984,04/05/2014
71,GASOLINA COMUM,2.983,11/05/2014
72,GASOLINA COMUM,2.976,18/05/2014
73,GASOLINA COMUM,2.972,25/05/2014
74,GASOLINA COMUM,2.972,01/06/2014
75,GASOLINA COMUM,2.967,08/06/2014
76,GASOLINA COMUM,2.963,15/06/2014
77,GASOLINA COMUM,2.963,22/06/2014
78,GASOLINA COMUM,2.956,29/06/2014
79,GASOLINA COMUM,2.957,06/07/2014
